playerNumber,power,maxBallVelMod,firstBallVel
0,1000.000000,2672.279676,165.131543
0,1010.000000,2669.201063,136.643070
0,1020.000000,2691.288661,139.590384
0,1030.000000,2713.553148,476.609830
0,1040.000000,2728.722617,132.502567
0,1050.000000,2731.540766,156.573776
0,1060.000000,2755.210686,135.202345
0,1070.000000,2758.497540,144.554770
0,1080.000000,2765.550502,135.123140
0,1090.000000,2785.392338,149.909972
0,1100.000000,2805.536460,144.482758
0,1110.000000,2821.071891,140.332843
0,1120.000000,2833.333444,140.462004
0,1130.000000,2848.555404,138.911426
0,1140.000000,2276.484084,105.270413
0,1150.000000,2870.761848,517.658771
0,1160.000000,2297.647877,100.710017
0,1170.000000,2891.402137,146.496661
0,1180.000000,2901.680604,157.622673
0,1190.000000,2922.367856,149.010376
0,1200.000000,2935.829451,148.965756
0,1210.000000,2934.281376,148.872887
0,1220.000000,2954.915631,151.330564
0,1230.000000,2964.046780,162.168173
0,1240.000000,2971.606196,151.465470
0,1250.000000,2988.758836,164.549914
0,1260.000000,2993.621296,155.175147
0,1270.000000,3013.766392,166.194499
0,1280.000000,3034.610698,155.550442
0,1290.000000,3030.365573,161.979707
0,1300.000000,3057.364882,166.345433
0,1310.000000,3064.121428,162.380584
0,1320.000000,3066.786878,162.200648
0,1330.000000,3095.143662,161.325160
0,1340.000000,3100.019162,558.922910
0,1350.000000,3109.902240,170.550483
0,1360.000000,3123.524964,167.487967
0,1370.000000,3135.425080,169.823166
0,1380.000000,3152.626204,169.976399
0,1390.000000,3156.646729,178.840872
0,1400.000000,3165.111499,168.832949
0,1410.000000,3189.677647,167.910674
0,1420.000000,3191.812323,181.071439
0,1430.000000,3197.926685,167.997675
0,1440.000000,3216.442166,175.909183
0,1450.000000,3218.379199,184.524255
0,1460.000000,3239.394617,176.623877
0,1470.000000,3258.524334,173.756466
0,1480.000000,3253.775564,585.315001
0,1490.000000,3263.588288,177.147754
0,1500.000000,3291.049818,178.712834
0,1510.000000,3286.239605,178.954799
0,1520.000000,3311.993525,187.915840
0,1530.000000,3317.361654,183.407034
0,1540.000000,3337.209875,180.979324
0,1550.000000,3348.838156,182.646186
0,1560.000000,3351.076317,186.334491
0,1570.000000,3352.978842,186.177058
0,1580.000000,3381.507519,183.258640
0,1590.000000,3385.814064,189.815386
0,1600.000000,3402.085436,196.107153
0,1610.000000,3414.006320,187.053742
0,1620.000000,3408.217066,185.625146
0,1630.000000,3434.732473,193.469264
0,1640.000000,3432.039325,185.232570
0,1650.000000,3452.902329,193.348028
0,1660.000000,3467.681889,193.802853
0,1670.000000,3468.781149,199.300875
0,1680.000000,3485.917484,201.311600
0,1690.000000,3490.168137,199.964150
0,1700.000000,3506.919689,199.785684
0,1710.000000,3520.955127,193.754722
0,1720.000000,3516.896659,191.933709
0,1730.000000,3539.287032,202.286105
0,1740.000000,3535.222597,207.659665
0,1750.000000,3555.173296,203.898279
0,1760.000000,3565.369723,215.203310
0,1770.000000,3578.436672,205.463925
0,1780.000000,3586.576117,200.457289
0,1790.000000,3594.814871,212.689907
0,1800.000000,3613.766667,199.913663
0,1810.000000,3624.846204,199.265264
0,1820.000000,3635.152244,203.472026
0,1830.000000,3646.092713,205.938397
0,1840.000000,3645.646398,211.866827
0,1850.000000,3664.021606,207.371366
0,1860.000000,3668.098359,670.736900
0,1870.000000,3683.212096,209.462155
0,1880.000000,3685.717082,217.213791
0,1890.000000,3705.690443,206.159551
0,1900.000000,3705.953615,220.046227
0,1910.000000,3729.010735,200.856273
0,1920.000000,3726.601930,216.162417
0,1930.000000,3743.389457,219.140370
0,1940.000000,3747.870928,215.028499
0,1950.000000,3765.283148,212.119408
0,1960.000000,3767.697677,217.063361
0,1970.000000,2995.184153,529.434768
0,1980.000000,3780.643712,212.278332
0,1990.000000,3805.164836,214.214203
0,2000.000000,3805.352406,228.074310
0,2010.000000,3814.060885,230.907461
0,2020.000000,3829.195698,227.857387
0,2030.000000,3842.375980,215.993517
0,2040.000000,3838.178587,215.151781
0,2050.000000,3863.725201,216.952675
0,2060.000000,3864.674974,220.501539
0,2070.000000,3875.917167,216.897982
0,2080.000000,3887.157899,226.629957
0,2090.000000,3900.607523,218.397243
0,2100.000000,3893.444478,225.696460
0,2110.000000,3916.224707,236.599123
0,2120.000000,3111.248260,170.640535
0,2130.000000,3937.629944,221.756487
0,2140.000000,3947.506011,227.738743
0,2150.000000,3961.164438,223.542751
0,2160.000000,3958.968506,229.759815
0,2170.000000,3966.857345,238.961110
0,2180.000000,3986.366890,227.192497
0,2190.000000,3994.811428,227.633706
0,2200.000000,3996.625434,231.943742
0,2210.000000,3997.731985,232.954816
0,2220.000000,4008.326583,227.299881
0,2230.000000,4022.329479,242.444641
0,2240.000000,4038.519564,238.212597
0,2250.000000,4046.253114,238.423219
0,2260.000000,4064.041125,226.024204
0,2270.000000,4052.136677,237.508151
0,2280.000000,4069.868014,240.419073
0,2290.000000,4071.560994,238.867394
0,2300.000000,4080.145179,239.406573
0,2310.000000,4087.927782,238.194238
0,2320.000000,4112.933257,237.315746
0,2330.000000,4115.393466,240.751042
0,2340.000000,4114.932968,242.434184
0,2350.000000,4132.262019,252.768379
0,2360.000000,4133.862121,239.653508
0,2370.000000,4141.260303,246.408984
0,2380.000000,4164.568179,246.160283
0,2390.000000,4168.765926,248.378127
0,2400.000000,4177.630980,244.044681
0,2410.000000,4195.291889,245.426356
0,2420.000000,4193.949814,248.608481
0,2430.000000,4204.483087,246.755108
0,2440.000000,4218.335874,254.976812
0,2450.000000,4212.782669,245.825912
0,2460.000000,4231.525798,251.276916
0,2470.000000,4244.964409,247.316149
0,2480.000000,4252.487876,255.604734
0,2490.000000,4263.482082,251.054166
0,2500.000000,4263.941011,263.985878
0,2510.000000,4281.348952,253.816740
0,2520.000000,4274.118248,253.905091
0,2530.000000,4295.996020,254.351609
0,2540.000000,4312.583322,247.904626
0,2550.000000,4308.619725,259.554841
0,2560.000000,4325.143486,253.638962
0,2570.000000,4331.168555,256.330280
0,2580.000000,4325.835734,256.741202
0,2590.000000,4343.634098,259.852733
0,2600.000000,4351.772030,259.735048
0,2610.000000,4372.029004,254.073562
0,2620.000000,4359.577502,262.185241
0,2630.000000,4382.018328,268.323142
0,2640.000000,4378.486178,259.106755
0,2650.000000,4401.554717,807.756925
0,2660.000000,4392.905570,275.754626
0,2670.000000,4415.692026,256.424624
0,2680.000000,4428.951192,263.025223
0,2690.000000,4437.601954,267.150241
0,2700.000000,4446.990218,253.775932
0,2710.000000,4452.050521,265.059761
0,2720.000000,4462.490420,267.950934
0,2730.000000,4460.650121,273.584965
0,2740.000000,4460.225632,269.669352
0,2750.000000,4484.969353,265.504346
0,2760.000000,4486.572786,264.826161
0,2770.000000,4506.868858,268.104182
0,2780.000000,4509.545568,268.450175
0,2790.000000,4501.221326,273.456313
0,2800.000000,4527.602486,270.759399
0,2810.000000,4529.434987,271.579098
0,2820.000000,4543.836045,271.414985
0,2830.000000,4535.349978,275.256958
0,2840.000000,4558.931056,275.743792
0,2850.000000,4549.966509,283.283379
