playerNumber,power,maxBallVelMod,firstBallVel
2,5400.000000,4934.931999,429.520455
2,5500.000000,5031.052763,436.451388
2,5600.000000,5146.609915,453.224045
2,5700.000000,5249.469333,457.863947
2,5800.000000,5361.573128,465.978297
2,5900.000000,5469.059250,475.044481
2,6000.000000,5584.670523,482.984094
3,1000.000000,790.806895,0.000000
3,1100.000000,877.725217,0.000000
3,1200.000000,967.472520,0.000000
3,1300.000000,1056.101684,0.000000
3,1400.000000,1138.597613,0.000000
3,1500.000000,1227.751834,0.000000
3,1600.000000,1323.614704,0.000000
3,1700.000000,1402.920429,0.000000
3,1800.000000,1502.848801,0.000000
3,1900.000000,1582.131482,0.000000
3,2000.000000,1681.431556,100.411193
3,2100.000000,1771.053425,113.891587
3,2200.000000,1857.030296,122.818976
3,2300.000000,1948.362855,128.828576
3,2400.000000,2039.578908,139.078766
3,2500.000000,2134.472433,146.174198
3,2600.000000,2220.251556,161.842440
3,2700.000000,2317.382867,160.483976
3,2800.000000,2403.099426,183.029605
3,2900.000000,2491.288144,192.698405
3,3000.000000,2571.152447,188.356902
3,3100.000000,2664.273408,199.006935
3,3200.000000,2750.107745,220.543947
3,3300.000000,2850.546354,229.043368
3,3400.000000,2947.731342,230.364089
3,3500.000000,3036.800740,242.901462
3,3600.000000,3144.992409,260.943353
3,3700.000000,3229.480891,268.624142
3,3800.000000,3334.331635,279.687474
3,3900.000000,3417.950260,287.545984
3,4000.000000,3514.357260,298.829963
3,4100.000000,3618.905180,303.466605
3,4200.000000,3703.938535,308.696255
3,4300.000000,3810.999668,313.373469
3,4400.000000,3911.728908,333.069100
3,4500.000000,4015.569643,340.577970
3,4600.000000,4098.882442,347.120067
3,4700.000000,4211.091105,361.690618
3,4800.000000,4305.383755,367.439568
3,4900.000000,4420.110069,374.559121
3,5000.000000,4520.519490,385.856324
3,5100.000000,4629.502195,391.129003
3,5200.000000,4732.579588,404.780808
3,5300.000000,4832.124991,417.281612
3,5400.000000,4944.879933,408.214739
3,5500.000000,5045.545372,430.123351
3,5600.000000,5155.447109,439.245225
3,5700.000000,5253.220622,458.527300
3,5800.000000,5371.543146,457.553521
3,5900.000000,5471.235709,467.937660
3,6000.000000,5595.475601,477.215901
